LSOA21CD,Index of Multiple Deprivation (IMD) Score,pop_65plus
E01000176,30.5,0.2019733023795705
E01000177,8.3,0.14389359129383314
E01000178,8.1,0.1475609756097561
E01000179,8.5,0.07979626485568761
E01000180,14.6,0.18681318681318682
E01000181,8.2,0.15906432748538013
E01000182,8.0,0.15854410857495374
E01000183,10.6,0.223753280839895
E01000184,31.9,0.09463051568314726
E01000185,25.8,0.12422786547700755
E01000186,5.2,0.18691070438158625
E01000187,13.0,0.1935300794551646
E01000188,8.0,0.22837150127226463
E01000189,24.5,0.04715047150471505
E01000190,10.1,0.19363997728563317
E01000191,6.8,0.23729903536977492
E01000192,15.5,0.19042871385842472
E01000193,16.1,0.14883720930232558
E01000194,19.4,0.12585933368588048
E01000195,27.0,0.09780439121756487
E01000196,12.3,0.1613053613053613
E01000197,12.5,0.12417943107221006
E01000198,11.8,0.15009208103130756
E01000199,7.2,0.2780881440099317
E01000200,9.6,0.25747011952191234
E01000201,7.2,0.2516254876462939
E01000202,6.7,0.18058022498519835
E01000203,15.5,0.14502987506789788
E01000204,10.1,0.2151603498542274
E01000205,7.7,0.20385126162018594
E01000206,9.1,0.21923335574983188
E01000207,6.6,0.2545115121344119
E01000208,6.6,0.21720561317876755
E01000209,7.1,0.3502638522427441
E01000210,8.2,0.15080906148867315
E01000211,14.6,0.11922714420358153
E01000212,10.3,0.22813411078717202
E01000213,7.6,0.17609162491052255
E01000214,10.5,0.15938461538461537
E01000215,13.6,0.14153988012909174
E01000216,10.0,0.13814118842051804
E01000217,10.8,0.12242626599888703
E01000218,15.3,0.10983606557377049
E01000219,19.9,0.08820840950639854
E01000220,17.1,0.17877984084880635
E01000221,45.8,0.07543103448275862
E01000222,27.1,0.09735396904643036
E01000223,35.8,0.07854688267059401
E01000224,19.7,0.14126611957796015
E01000225,11.0,0.1458557588805167
E01000226,31.7,0.10742857142857143
E01000227,10.0,0.19025157232704404
E01000228,12.5,0.13620807665982204
E01000229,21.6,0.12666666666666668
E01000230,7.9,0.20736629667003026
E01000231,17.6,0.12155317951603826
E01000232,14.5,0.1907824222936763
E01000233,8.9,0.1383975026014568
E01000234,8.7,0.1349384098544233
E01000235,23.3,0.08479212253829321
E01000236,10.6,0.11621900826446281
E01000237,9.5,0.09947643979057591
E01000238,14.5,0.09406657018813314
E01000239,21.6,0.0854075158613958
E01000240,19.6,0.16781214203894615
E01000241,10.7,0.15725359911406422
E01000242,19.2,0.19364691508857668
E01000243,14.1,0.10641263940520446
E01000244,15.6,0.13117754728492984
E01000245,24.1,0.0847457627118644
E01000246,10.6,0.2384318766066838
E01000247,10.1,0.1272294887039239
E01000248,7.3,0.21657910099241098
E01000249,5.9,0.21951219512195122
E01000250,13.0,0.1612409038682497
E01000251,18.9,0.15493581230633025
E01000252,13.4,0.17830351990767454
E01000253,9.4,0.2332155477031802
E01000254,7.8,0.23747680890538034
E01000255,18.7,0.15589804386484885
E01000256,10.6,0.16053858104609012
E01000257,25.0,0.12005785920925748
E01000258,9.2,0.19989395546129374
E01000259,13.4,0.15217391304347827
E01000260,19.9,0.10715956948993917
E01000261,7.6,0.24617129892229156
E01033911,11.6,0.1478537360890302
E01033912,11.6,0.04373522458628842
E01000263,5.9,0.17447081462475947
E01000264,16.5,0.12699285321605278
E01000265,15.1,0.13503649635036497
E01000266,8.0,0.21247429746401644
E01000267,12.8,0.17239185750636132
E01000268,15.3,0.12506059137178865
E01000269,10.4,0.1956521739130435
E01000270,12.0,0.18961038961038962
E01000271,6.6,0.2279098110907983
E01000272,4.8,0.26142857142857145
E01000273,14.1,0.22784057108863773
E01000274,15.6,0.14565105506948017
E01000275,13.5,0.23752834467120182
E01000276,4.1,0.1638683680322364
E01000277,18.2,0.1835518474374255
E01000278,5.5,0.1794697484704283
E01000279,9.0,0.26495726495726496
E01000280,4.0,0.2727941176470588
E01000281,10.9,0.10708310094813163
E01000282,8.6,0.1633221850613155
E01000283,4.6,0.2276064610866373
E01000284,15.5,0.13950953678474115
E01000285,15.1,0.20586319218241042
E01000286,23.9,0.15990730011587487
E01000287,22.7,0.15776844631073786
E01000288,13.0,0.16861219195849547
E01000289,38.3,0.11209068010075567
E01000290,19.9,0.24142233312538988
E01000291,32.9,0.11224489795918367
E01000292,11.3,0.24246311738293777
E01000293,7.6,0.1951080773606371
E01000294,12.2,0.21943048576214405
E01000295,13.3,0.15018541409147096
E01000296,12.1,0.11536297129994373
E01000297,9.0,0.13412921348314608
E01000298,11.8,0.126882966396292
E01000299,17.0,0.12266301869585043
E01000300,12.3,0.15144230769230768
E01000301,7.1,0.1898989898989899
E01000302,15.6,0.14181614349775784
E01000303,6.8,0.16677696889477167
E01000304,13.5,0.12218649517684887
E01000305,27.9,0.11681957186544342
E01000306,14.0,0.1352560914967678
E01000307,23.3,0.13130699088145897
E01000308,31.8,0.10056925996204934
E01000309,13.9,0.12948593598448108
E01000310,19.2,0.13855970829535097
E01000311,11.1,0.10844748858447488
E01000312,24.9,0.07769145394006659
E01000313,19.9,0.10864978902953587
E01000314,10.7,0.11013824884792627
E01000315,32.7,0.1371061843640607
E01000316,19.9,0.10482456140350878
E01000317,10.9,0.16091245376078914
E01000318,14.7,0.20093945720250522
E01000319,9.9,0.14524328249818447
E01000320,8.7,0.18036175710594315
E01000321,14.4,0.1431503335043612
E01000322,14.9,0.1633423180592992
E01000323,18.8,0.1303436714165968
E01000324,13.8,0.13593314763231198
E01033915,22.2,0.01051156271899089
E01033919,22.2,0.015491866769945779
E01033920,22.2,0.030831099195710455
E01033925,22.2,0.10559723023658396
E01033918,17.9,0.01614987080103359
E01033917,17.9,0.0034083162917518746
E01000325,5.9,0.1937984496124031
E01000326,12.0,0.12845990063875087
E01000327,7.7,0.23741454319453076
E01000328,11.4,0.23226197695573075
E01000329,15.9,0.15926583777383066
E01000330,17.9,0.22688564476885645
E01000331,28.3,0.14502923976608187
E01000332,16.1,0.22805893657911594
E01000333,25.9,0.1557075223566544
E01000334,13.0,0.19585798816568048
E01000335,31.7,0.07187157971543233
E01000336,31.4,0.0965965965965966
E01000337,19.6,0.10140679953106682
E01000338,18.9,0.105774419859687
E01000339,16.3,0.17585139318885448
E01000340,12.8,0.1920152091254753
E01000341,8.9,0.234375
E01000342,8.9,0.15557020435069216
E01000343,8.3,0.18326693227091634
E01000344,6.1,0.19285274183610598
E01000345,6.3,0.19259818731117825
E01000346,9.7,0.1705919796308084
E01000347,11.2,0.20855263157894738
E01000348,5.0,0.17903335602450646
E01000349,7.5,0.21829762594093804
E01000350,7.9,0.17546174142480211
E01000351,7.6,0.208955223880597
E01000352,14.8,0.17120387174833634
E01000353,5.2,0.3021148036253776
E01000354,21.3,0.18838622552329506
E01000355,8.2,0.28013698630136985
E01000356,7.9,0.2653452685421995
E01000357,4.1,0.17385057471264367
E01000358,6.2,0.1917562724014337
E01000359,6.2,0.25192604006163327
E01000360,18.7,0.18033648790746581
E01000361,11.3,0.14214773432650527
E01000362,12.6,0.19905462184873948
E01000363,9.3,0.2113564668769716
E01000364,12.7,0.16715715126545028
E01000365,14.4,0.23214285714285715
E01000366,9.9,0.14997000599880023
E01000367,30.9,0.1267911419887104
E01000368,33.9,0.10294117647058823
E01000369,14.6,0.20927536231884059
E01000370,11.4,0.23570520965692504
E01000371,8.2,0.1642156862745098
E01000372,29.9,0.15542521994134897
E01000373,29.3,0.03003003003003003
E01000374,42.4,0.10847240051347883
E01000375,18.3,0.09773371104815864
E01000376,16.2,0.14508094645080946
E01000377,12.3,0.1841204654346338
E01033791,21.2,0.10173160173160173
E01033792,21.2,0.15962777380100215
E01000379,18.6,0.1516919486581097
E01000380,23.3,0.20814220183486237
E01000381,27.8,0.16943930991990142
E01000382,6.4,0.2154320987654321
E01000383,21.1,0.23096129837702872
E01000384,12.1,0.18854829381145172
E01000385,32.3,0.11703187250996015
E01000386,41.6,0.16490066225165562
E01000387,12.3,0.2231457800511509
E01000388,10.8,0.2582562747688243
E01000389,11.2,0.21294117647058824
E01000390,10.2,0.20535714285714285
E01000391,13.9,0.14440639269406394
E01000392,22.9,0.09243270695784662
E01000393,9.2,0.14578313253012049
E01000394,9.3,0.2283609576427256
E01000395,5.0,0.18866709594333547
E01000396,8.1,0.1769177608845888
E01000398,20.0,0.19451371571072318
E01000399,9.1,0.21675191815856779
E01000400,14.7,0.1876196553924697
E01000401,21.1,0.20142700329308452
E01000402,23.5,0.15644555694618273
E01000403,29.5,0.17632241813602015
E01000404,30.1,0.0457190357439734
E01000405,28.9,0.05161290322580645
E01000406,23.3,0.07624360762436076
E01000407,14.6,0.21106337271750805
E01000408,23.8,0.09003397508493771
E01000409,5.9,0.17600452744765138
E01000410,7.5,0.15073313782991202
E01000411,9.6,0.1705685618729097
E01000412,8.6,0.12291786329695577
E01000413,11.0,0.17965367965367965
E01000414,13.6,0.17384370015948963
E01000415,6.2,0.22268041237113403
E01000416,25.3,0.12539184952978055
E01000417,19.6,0.1716937354988399
E01000418,18.7,0.12202688728024819
E01000419,8.7,0.2612732095490716
E01000420,11.2,0.20201342281879195
E01000421,7.2,0.26987179487179486
E01000422,35.9,0.04541955350269438
E01000423,5.6,0.21493624772313297
E01000424,6.8,0.22476525821596244
E01000425,6.5,0.2508361204013378
E01000426,10.3,0.15144230769230768
E01000427,12.9,0.24
E01000428,23.9,0.21077654516640254
E01000429,42.5,0.05601907032181168
E01000430,16.5,0.0741097208854668
E01000431,36.1,0.09991673605328892
E01033789,24.4,0.03460207612456748
E01033790,24.4,0.11396226415094339
E01000433,35.5,0.0774869109947644
E01000434,38.2,0.10243597751405371
E01000435,31.2,0.15093085106382978
E01000436,5.0,0.22203098106712565
E01000437,13.7,0.15731166912850814
E01000438,14.0,0.1422740524781341
E01000439,23.8,0.1320754716981132
E01000440,7.7,0.24158125915080528
E01000441,29.0,0.11080332409972299
E01000442,13.9,0.1950087057457922
E01000443,18.2,0.16515151515151516
E01000444,6.8,0.24876543209876542
E01000445,5.8,0.236810551558753
E01000446,6.2,0.16010498687664043
E01000447,10.4,0.14022517911975435
E01000448,3.2,0.24334319526627218
E01000449,5.4,0.26846057571964954
E01000450,18.0,0.12282669657879977
E01000451,7.5,0.15732880588568196
E01000452,7.5,0.15177304964539007
E01000453,8.0,0.1597315436241611
E01000454,18.6,0.1630901287553648
E01000455,8.2,0.156355455568054
E01000456,6.1,0.14584837545126353
E01000457,12.1,0.15976058931860038
E01000458,5.6,0.27360931435963776
E01000459,14.4,0.24583109198493813
E01000460,5.1,0.22416534181240064
E01000461,7.1,0.19499105545617174
E01000462,14.3,0.19933078393881454
E01000463,5.1,0.17613636363636365
E01000464,25.5,0.11795891318754141
E01000465,28.7,0.1180637544273908
E01000466,23.4,0.08973607038123167
E01000467,18.6,0.09608540925266904
E01000468,20.9,0.047942876572594356
E01000469,19.9,0.0782608695652174
E01000470,38.3,0.08489096573208722
E01032566,25.2,0.13559322033898305
E01000471,21.5,0.12166859791425261
E01000472,22.9,0.07368859283930058
E01000473,25.2,0.0870052277819268
E01000474,21.8,0.10664335664335664
E01000475,21.1,0.10260047281323877
E01000476,19.7,0.140754369825207
E01000477,23.5,0.07679033649698015
E01000478,23.7,0.122
E01000479,15.8,0.18742857142857142
E01000480,11.8,0.17105263157894737
E01000481,27.7,0.10736196319018405
E01033931,33.3,0.08619430241051863
E01033932,33.3,0.1417556346381969
E01000483,33.5,0.08858695652173913
E01000484,38.6,0.10022396416573348
E01000485,29.7,0.234016139044072
E01000486,15.6,0.16360403082394784
E01000487,17.6,0.17560728744939272
E01000488,24.3,0.1
E01000489,23.3,0.1926871735345328
E01000490,24.2,0.07521367521367521
E01000491,21.2,0.11219512195121951
E01000492,13.4,0.17592592592592593
E01000493,12.3,0.16321406151914628
E01000494,19.5,0.16561964591661907
E01000495,32.6,0.1415929203539823
E01000497,23.7,0.1665859564164649
E01000498,32.5,0.13440860215053763
E01000499,27.1,0.08994145822245875
E01000501,35.7,0.10984661058881742
E01000502,28.7,0.1045822102425876
E01000503,28.6,0.14914772727272727
E01000504,21.4,0.10385259631490787
E01000505,20.3,0.15540944411237298
E01000506,30.4,0.06613594611145132
E01000507,22.0,0.16697473813924832
E01000508,37.8,0.10421369450714824
E01000509,34.2,0.15411195577055978
E01000510,30.1,0.13588235294117648
E01000511,31.0,0.12008978675645342
E01000512,18.9,0.13228438228438227
E01000513,15.5,0.1698002350176263
E01000514,14.6,0.11053315994798439
E01000515,27.5,0.09941207910208445
E01000516,19.4,0.09956521739130435
E01000517,13.6,0.19154228855721392
E01000518,25.9,0.1294178794178794
E01000519,20.4,0.09202453987730061
E01000520,20.6,0.14217156568686262
E01000521,53.1,0.07944129201222173
E01000522,31.4,0.07893462469733656
E01000523,31.7,0.07926829268292683
E01000524,44.2,0.09186241610738255
E01000525,33.6,0.1001598295151838
E01000526,42.1,0.1182648401826484
E01000527,34.2,0.11893333333333334
E01000528,46.0,0.10181392627267408
E01000530,15.6,0.13580931263858093
E01000531,25.3,0.1369179600886918
E01000532,22.1,0.12087912087912088
E01000533,38.6,0.10905730129390019
E01000534,19.4,0.10342857142857143
E01000535,29.6,0.10273972602739725
E01000536,11.3,0.22785622593068036
E01000538,9.6,0.22065150583896742
E01000539,9.4,0.23275862068965517
E01000540,10.5,0.24847664184157076
E01000541,14.8,0.17202797202797201
E01000543,21.4,0.1534683855125844
E01000544,33.6,0.0776255707762557
E01000545,30.4,0.07784743991640543
E01000546,22.3,0.12777777777777777
E01000547,22.7,0.09578313253012048
E01000548,32.7,0.08324715615305067
E01000549,17.1,0.09366236679753225
E01000550,34.6,0.12395061728395061
E01000551,41.1,0.0849740932642487
E01000552,43.4,0.06662225183211193
E01000553,29.1,0.10500490677134446
E01000554,21.0,0.12306153076538269
E01000555,15.9,0.1496014714898835
E01000556,32.0,0.06589147286821706
E01000557,23.5,0.08554412560909583
E01000558,26.8,0.1295754026354319
E01000559,22.1,0.1328976034858388
E01000560,19.1,0.125
E01000561,24.7,0.08068714211348256
E01000562,10.9,0.24417831004657353
E01000563,9.6,0.2224310776942356
E01000564,17.3,0.10616229408175717
E01000565,23.9,0.15982028241335045
E01000566,14.8,0.1967005076142132
E01000567,18.2,0.14914772727272727
E01000568,14.3,0.09598918431726003
E01000569,9.5,0.23356164383561645
E01000570,24.1,0.15364583333333334
E01000571,22.2,0.16862088218872137
E01000572,12.3,0.17058428475486903
E01000573,13.4,0.140153755174453
E01000574,10.7,0.12053301029678982
E01000575,17.4,0.08734236338159738
E01000576,16.5,0.15255157437567862
E01000577,32.6,0.052318668252080855
E01000578,28.9,0.1572354211663067
E01000579,28.9,0.10705128205128205
E01000580,20.1,0.14880382775119616
E01000581,15.5,0.1015572105619499
E01000582,14.3,0.11322808927599347
E01000583,21.3,0.1341222879684418
E01000584,14.5,0.13742875237492083
E01000585,14.2,0.08558262014483213
E01000586,21.5,0.05907172995780591
E01000587,15.0,0.14880587875076545
E01033929,26.1,0.01918649270913277
E01033930,26.1,0.1532608695652174
E01000589,19.3,0.12406753042795446
E01000590,19.0,0.16436251920122888
E01000591,20.6,0.13005911778080945
E01000592,20.7,0.16446644664466448
E01000593,19.6,0.11010486177311725
E01000594,17.1,0.12383048981838195
E01000595,45.3,0.07937395192845165
E01000596,46.5,0.1045182362547632
E01000599,51.4,0.08888888888888889
E01033937,36.8,0.0939655172413793
E01033938,36.8,0.139389193422083
E01033939,36.8,0.007816571130797291
E01000601,57.2,0.07543103448275862
E01000602,39.8,0.12698412698412698
E01000603,39.1,0.09128919860627177
E01000604,43.1,0.10599078341013825
E01000605,45.5,0.10920526014865638
E01000606,19.7,0.11484290357529794
E01000607,18.8,0.10757754220651747
E01000608,22.1,0.10772532188841202
E01000609,21.0,0.13178294573643412
E01000610,24.9,0.13197278911564625
E01000611,24.0,0.09674027339642481
E01000612,23.0,0.11898016997167139
E01000613,25.3,0.09534750143595634
E01000615,19.8,0.0609375
E01000616,21.6,0.09421402969790067
E01000617,24.1,0.13464991023339318
E01000618,21.8,0.1453796350794585
E01000619,19.4,0.1487747957992999
E01000620,20.9,0.19206798866855523
E01000621,25.2,0.12700165654334622
E01000622,30.1,0.07274590163934426
E01000623,16.1,0.14436805922792173
E01000624,18.7,0.19817767653758542
E01000625,22.4,0.15733647613435475
E01000626,43.5,0.10585141354372124
E01000627,39.2,0.12236084452975048
E01000628,33.7,0.11079545454545454
E01000629,15.8,0.13966480446927373
E01000630,28.7,0.08825729244577413
E01000631,16.9,0.13697967086156826
E01000632,18.6,0.12725090036014405
E01000633,24.5,0.090315142198309
E01000634,21.9,0.07972665148063782
E01033935,29.7,0.07757757757757758
E01033936,29.7,0.05501813784764208
E01000636,18.2,0.121765601217656
E01000637,23.3,0.1102257636122178
E01000638,28.9,0.07075913776944705
E01000639,22.1,0.07192174913693901
E01000640,27.0,0.07339857651245552
E01000641,30.8,0.09076923076923077
E01000642,27.3,0.08860759493670886
E01000643,51.1,0.09363636363636364
E01000644,25.0,0.10785340314136126
E01033940,23.1,0.00211864406779661
E01033941,23.1,0.003355704697986577
E01033942,23.1,0.0
E01033455,42.1,0.08527827648114901
E01033456,52.9,0.1058421851289833
E01033457,20.2,0.08779011099899092
E01033463,13.6,0.17615433270082226
E01033933,29.7,0.11194029850746269
E01033934,29.7,0.11411411411411411
E01033485,33.9,0.09411050394656952
E01000645,4.4,0.20807237299930412
E01000646,8.7,0.1894150417827298
E01000647,6.9,0.12035398230088495
E01000648,6.4,0.16041666666666668
E01000649,9.1,0.19748305905130686
E01000650,11.7,0.2461453744493392
E01000651,9.8,0.2600349040139616
E01000652,6.3,0.22588235294117648
E01000653,9.8,0.24688932547478717
E01000654,7.9,0.1992156862745098
E01000655,10.1,0.16440422322775264
E01000656,6.8,0.2196104768300873
E01000657,12.2,0.19157088122605365
E01000658,6.9,0.3509687034277198
E01000659,7.7,0.1518987341772152
E01000661,37.6,0.11891319689484828
E01000662,18.2,0.13658804168952277
E01000663,17.6,0.18363743378457917
E01000664,19.0,0.14381474710542352
E01000665,11.3,0.1771674744211093
E01000666,5.6,0.2977059436913452
E01000667,6.9,0.2463768115942029
E01000668,11.5,0.12914961346066395
E01000669,8.8,0.13810597519729426
E01000670,5.9,0.16935904116727463
E01000671,10.6,0.13782474680757376
E01000672,7.6,0.2013142174432497
E01000673,8.3,0.13006654567453116
E01000674,12.2,0.1403926234384295
E01034386,10.2,0.028594771241830064
E01034385,10.2,0.1834607366226546
E01000676,20.8,0.09628543499511241
E01000677,13.3,0.08636124275934702
E01000678,8.9,0.132013201320132
E01000679,8.8,0.10607734806629834
E01000680,9.2,0.2590144230769231
E01000681,2.7,0.1542824730572887
E01000682,4.3,0.24401008827238335
E01000683,12.3,0.1530791788856305
E01000684,3.5,0.18100189035916825
E01000685,12.6,0.15942928039702234
E01000686,7.3,0.27435387673956263
E01000687,6.5,0.24444444444444444
E01000688,2.6,0.212298682284041
E01000689,21.8,0.17107692307692307
E01000690,7.2,0.20041899441340782
E01000691,13.1,0.17627785058977719
E01000692,6.7,0.18394248052726184
E01000693,11.7,0.37677245104659013
E01000694,7.8,0.1919859092910612
E01000695,7.6,0.20948616600790515
E01000696,7.3,0.28869778869778867
E01000697,3.5,0.15894039735099338
E01000698,14.0,0.24727577535624476
E01000699,20.1,0.07916666666666666
E01000700,13.7,0.11513157894736842
E01000701,12.8,0.09553695955369595
E01000702,10.1,0.09323843416370106
E01000703,10.5,0.1123335263462652
E01000704,10.3,0.14745308310991956
E01000705,16.3,0.1476261127596439
E01000706,16.6,0.1278735632183908
E01000707,3.3,0.08947368421052632
E01000708,7.9,0.15081768625075712
E01000709,16.2,0.21901408450704227
E01000710,10.3,0.1308610400682012
E01000711,11.8,0.17659574468085107
E01000712,7.0,0.18746470920383965
E01000713,8.1,0.1569362613818961
E01000714,10.0,0.14332399626517273
E01000715,6.6,0.2212790039615167
E01000716,7.5,0.2641165755919854
E01000717,8.4,0.18101415094339623
E01000718,27.3,0.11670702179176755
E01000719,25.4,0.12446758163748226
E01000720,43.3,0.10950528071150639
E01000721,43.2,0.08926342072409488
E01000722,23.6,0.14968152866242038
E01000723,13.7,0.3058446757405925
E01000724,36.1,0.11130536130536131
E01000725,27.9,0.13962690785754664
E01000726,16.2,0.21615384615384614
E01000727,14.5,0.22576760987357014
E01000728,21.4,0.21036397285626157
E01000729,40.9,0.08680020544427323
E01000730,41.8,0.09234111895708853
E01000731,29.7,0.13822894168466524
E01000732,14.4,0.17760106030483763
E01000733,20.0,0.1588271227855834
E01000734,12.0,0.1387900355871886
E01000735,30.1,0.12022900763358779
E01000736,21.9,0.11786148238153099
E01000737,32.2,0.14327485380116958
E01000738,20.2,0.18160377358490565
E01000739,42.4,0.10575793184488837
E01034383,25.7,0.0548159749412686
E01034384,25.7,0.011252813203300824
E01000741,24.9,0.06386554621848739
E01000742,23.3,0.06631679389312978
E01000743,34.8,0.15775109170305676
E01000744,41.7,0.12206266318537859
E01000745,19.5,0.06602768903088392
E01000746,17.5,0.09648688767936665
E01000747,20.2,0.19215686274509805
