LSOA21CD,pop_centroid_x,pop_centroid_y
E01000135,-0.20178827534503282,51.56851451931364
E01000136,-0.19155315804169848,51.56716695523785
E01000137,-0.20099721603362386,51.564360048139605
E01000138,-0.2059872018060614,51.56389250831863
E01000139,-0.20170315965244864,51.56013816486385
E01000140,-0.19668110977082967,51.56277626116688
E01000141,-0.21449049496843556,51.55876242053711
E01000142,-0.21126653090506595,51.56195749736556
E01000143,-0.20892436560854,51.55824116880217
E01000144,-0.1989748941405985,51.57426638544097
E01000145,-0.20530453272660826,51.57291299707888
E01000146,-0.19757333878020952,51.57091884891554
E01000147,-0.2491431044265258,51.58983568930516
E01000150,-0.24384212622113566,51.58560907527394
E01000151,-0.2437394511418684,51.60157395607539
E01000152,-0.24498038225124563,51.604389367241666
E01000153,-0.24756268581127885,51.60453446460601
